,index,name,dry_weight,water_cont,UCS,elastic_mod,poisson,type,rock_type,T,pred_class,type_str
129,147,BHA-53,2731.0,1.1,119.82200000000007,57.03555658425691,0.2501999999999999,1,BS,14.96,4,Basalt
130,148,BHA-54,1957.0,4.6,7.399999999999995,6.8141161942871005,0.2270000000000001,3,PYR,0.38,1,Pyroclastic
131,149,BHA-55,1875.0,6.37,8.0,12.6,0.41,1,BS,1.08,2,Basalt
132,150,BHA-56,2089.0,5.0,10.2,6.872032932880306,0.27360000000000007,3,PYR,1.97,1,Pyroclastic
133,151,BHA-57,2680.0,2.09,22.6,22.593635860319917,0.2936000000000001,1,BS,6.3353906690475315,2,Basalt
134,152,BHA-58,2884.0,0.47,61.7,75.37900272144131,0.2450000000000001,1,BS,12.967503209524343,3,Basalt
135,153,BHA-59,1926.0,8.0,12.067999999999994,16.93568540712974,0.21460000000000004,1,BS,1.09,2,Basalt
136,154,BHA-60,1977.3333333333323,8.0,12.501999999999994,5.513942518063323,0.20499999999999996,3,PYR,1.8867593000000433,1,Pyroclastic
137,155,BHA-61,2721.0,2.28,92.9,59.357159156007064,0.21960000000000016,1,BS,10.51,3,Basalt
138,156,BHA-62,2609.0,3.63,62.7,54.7,0.24,1,BS,7.924977000000002,3,Basalt
139,157,BHA-63,2038.0,6.0,5.9,7.4811016510587605,0.16599999999999995,3,PYR,0.93,1,Pyroclastic
140,158,BHA-64,3068.0,0.05,45.7,79.17167092904131,0.24280000000000002,1,BS,4.42,3,Basalt
141,159,BHA-65,1743.0,8.0,8.9,5.381499724430856,0.2656000000000001,3,PYR,1.3190588666665894,1,Pyroclastic
142,160,BHA-66,2344.0,4.26,29.8,26.0,0.16,1,BS,7.55,2,Basalt
143,161,BHA-67,2772.0,1.0,41.1,56.21209864856192,0.22260000000000013,1,BS,12.53,3,Basalt
144,162,BHA-68,2018.0,6.83,12.3,7.8,0.21,1,BS,2.71,2,Basalt
145,163,BHA-69,2456.0,4.0,35.69839999999999,29.778555689725835,0.1894,1,BS,5.69,2,Basalt
146,164,BHA-70,2721.0,2.23,62.4,53.64118396521259,0.17579999999999998,1,BS,8.67,3,Basalt
147,166,BHA-72,2721.0,1.91,59.7,54.19646364073418,0.19680000000000006,1,BS,8.88,3,Basalt
148,167,BHA-73,2823.0,1.14,158.9,66.13432528758293,0.2304,1,BS,15.71,4,Basalt
149,168,BHA-74,1845.0,5.0,10.7,4.9,0.22,3,PYR,1.663869819047566,1,Pyroclastic
150,169,BHA-75,2568.0,3.15,65.7,27.781634082636828,0.1494,1,BS,9.799694166666965,3,Basalt
151,170,BHA-76,2813.0,1.0,74.7,70.5,0.22,1,BS,11.186793238095234,3,Basalt
152,171,BHA-77,2201.0,5.0,19.0,9.122329363144308,0.15760000000000002,3,PYR,0.42,1,Pyroclastic
153,172,BHA-78,2640.0,1.85,40.8,46.57783655351558,0.20739999999999997,1,BS,4.369271047618801,3,Basalt
154,173,BHA-79,2905.0,0.74,147.0,74.50804955110802,0.23480000000000004,1,BS,12.48,4,Basalt
155,174,BHA-80,2864.0,1.0,91.4,61.6,0.2,1,BS,16.17,3,Basalt
156,175,BHA-81,2854.0,1.0,44.0,79.7784326830128,0.22940000000000005,1,BS,7.69,3,Basalt
157,176,BHA-82,2884.0,1.0,88.6,70.83531194510401,0.23400000000000024,1,BS,13.630383219047612,3,Basalt
158,177,BHA-83,1987.0,9.0,11.399999999999991,6.106612622206436,0.23899999999999996,3,PYR,1.914331300000036,1,Pyroclastic
159,178,BHA-84,2772.0,1.0,41.099999999999966,56.21209864856192,0.22260000000000013,1,BS,10.03,3,Basalt
160,179,BHA-85,1824.0,11.0,3.8,10.974243604166825,0.25240000000000007,1,BS,0.94,2,Basalt
161,180,BHA-86,2344.0,5.0,7.2,24.6,0.13980000000000004,1,BS,4.72,2,Basalt
162,181,BHA-87,2820.6923076923094,1.0,96.03550000000001,69.78305923133077,0.23320000000000016,1,BS,12.783397999999767,4,Basalt
163,182,BHA-88,1681.0,7.0,8.1,5.6,0.25680000000000003,3,PYR,1.23,1,Pyroclastic
164,183,BHA-89,2609.0,4.0,58.8,54.59696201615482,0.23900000000000016,1,BS,4.11,3,Basalt
165,184,BHA-90,2313.0,4.0,42.4,28.8,0.25,1,BS,4.12,2,Basalt
166,185,BHA-91,2650.0,3.0,72.5,46.088427686277605,0.17339999999999992,1,BS,9.072159666666641,3,Basalt
167,186,BHA-92,2833.0,1.0,47.2,75.6932458970727,0.21940000000000015,1,BS,17.12,3,Basalt
168,187,BHA-93,2833.0,1.0,115.3,66.27203709303683,0.2659999999999998,1,BS,18.03,4,Basalt
169,188,BHA-94,2823.0,1.0,130.1,58.05801056894177,0.24419999999999994,1,BS,16.06320333333344,4,Basalt
170,189,BHA-95,2844.0,1.0,113.6,67.2,0.27,1,BS,19.65,4,Basalt
171,190,BHA-96,2793.0,1.0,48.30999999999997,68.95630227511572,0.24540000000000006,1,BS,5.66,3,Basalt
172,191,BHA-97,2864.0,0.05,92.0,61.488551480912356,0.20079999999999995,1,BS,14.62468366666594,3,Basalt
173,192,BHA-98,2782.0,1.0,22.299999999999983,25.226508792050854,0.2358,1,BS,4.28,2,Basalt
174,193,BHA-99,2212.0,6.0,5.3,9.1,0.1,1,BS,2.236998171428619,2,Basalt
175,194,BHA-100,2324.0,5.0,25.8,17.501914269149047,0.1716,1,BS,5.0,2,Basalt
176,195,BHA-101,2161.0,5.0,19.950000000000017,19.451764256078032,0.06860000000000001,1,BS,4.46,2,Basalt
177,196,BHA-102,2161.0,7.0,25.8,15.533950924689504,0.1301999999999999,1,BS,3.1,2,Basalt
178,197,BHA-103,2232.0,5.0,10.0,12.541390846343852,0.21,1,BS,3.5392746666665436,2,Basalt
179,198,BHA-104,2650.0,2.0,44.0,45.5,0.2,1,BS,8.81,3,Basalt
180,199,BHA-105,2222.0,6.0,14.5,9.836110243780622,0.14360000000000003,1,BS,1.65,2,Basalt
181,200,BHA-106,2324.0,6.0,21.0,10.5,0.15,1,BS,4.5255056333332435,2,Basalt
182,201,BHA-107,2680.0,2.0,30.1,28.813038188309644,0.19579999999999997,1,BS,6.7704835642856125,2,Basalt
